	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0035831"	104.06	84.13	75.11	85.36	87.02	91.23	71.30	100.57	86.85	123.13	132.43	146.17	131.45	138.67	94.66
"FBgn0035833"	3.45	4.63	4.34	3.50	3.32	3.56	0.33	0.12	0.14	3.25	2.54	3.39	5.49	6.93	7.70
"FBgn0035838"	32.13	27.55	25.50	37.38	40.66	39.48	38.39	39.73	40.31	39.73	29.56	32.46	39.53	31.82	39.81
"FBgn0035839"	21.29	14.28	14.25	18.23	16.41	20.48	2.32	2.80	2.64	17.69	19.24	16.26	17.76	23.39	12.48
"FBgn0035842"	16.20	23.81	25.52	11.03	14.26	10.47	7.04	4.75	6.68	10.25	7.66	10.53	11.28	15.34	24.10
"FBgn0035844"	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.03	0.05	0.00	0.00	0.00	0.02	0.00	0.02
"FBgn0035845"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035847"	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035848"	44.18	44.87	41.69	39.53	39.13	41.89	58.27	58.09	56.08	46.42	42.73	44.70	42.00	33.68	48.15
"FBgn0035849"	7.92	7.93	6.95	11.32	9.81	10.58	0.21	0.29	0.36	5.54	6.38	6.76	8.13	11.72	9.04
"FBgn0035850"	34.43	38.43	40.47	48.27	46.73	52.36	49.35	44.76	46.22	32.51	32.88	30.84	38.72	31.36	40.90
"FBgn0035851"	24.42	26.36	29.37	28.64	28.66	29.19	26.10	20.75	23.95	20.74	21.79	24.88	25.75	22.20	29.84
"FBgn0035852"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035853"	217.96	190.79	185.69	255.95	245.45	235.48	286.61	333.55	302.88	262.85	272.70	255.07	237.10	210.36	214.11
"FBgn0035854"	24.23	22.12	21.88	27.75	26.64	26.78	36.44	43.94	39.82	31.94	32.13	29.45	25.59	25.38	25.07
"FBgn0035855"	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035856"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035857"	0.04	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
"FBgn0035858"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035859"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035861"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035865"	0.61	0.65	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035866"	132.89	123.77	114.01	154.16	150.30	156.38	185.20	186.50	176.67	157.13	140.08	150.97	148.93	114.02	153.16
"FBgn0035867"	17.01	18.08	16.43	22.72	21.58	20.89	2.02	1.16	1.43	17.30	16.90	19.99	21.10	22.41	19.05
"FBgn0035868"	2.94	2.26	1.82	4.12	4.01	4.44	6.64	7.05	5.11	4.12	3.40	3.48	2.28	2.59	2.78
"FBgn0035870"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035871"	198.55	159.14	135.06	206.59	205.69	204.42	251.26	305.84	244.94	248.48	256.25	237.98	199.80	167.86	186.28
"FBgn0035872"	90.65	106.09	119.59	109.37	107.57	110.60	80.60	69.03	81.24	85.48	86.70	92.28	97.49	78.06	95.19
"FBgn0035873"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035875"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00
"FBgn0035876"	71.43	62.01	53.81	73.27	68.65	72.57	85.14	96.87	92.50	82.49	83.11	79.49	81.86	75.14	69.16
"FBgn0035877"	26.25	21.70	21.16	27.19	27.48	27.90	17.72	18.10	19.91	27.82	24.17	27.52	27.05	20.61	28.49
