	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0073140"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346813"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00
"FBtr0073218"	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.02
"FBtr0073257"	0.00	0.00	0.04	0.00	0.00	0.00	0.05	0.05	0.00	0.04	0.05	0.00	0.00	0.09	0.03
"FBtr0290214"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077440"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077842"	53.22	41.25	34.48	52.14	46.97	50.37	38.27	49.27	45.61	66.17	67.92	68.75	61.16	64.50	48.13
"FBtr0077817"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.00	0.00	0.00
"FBtr0334759"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077863"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077871"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
