	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0307296"	7.53	8.57	6.12	10.15	8.47	9.39	10.37	11.84	8.52	8.85	10.36	7.93	7.02	6.55	5.05
"FBtr0332843"	8.83	8.71	7.80	8.12	8.90	8.49	13.90	15.99	18.98	8.88	9.19	6.54	7.45	7.10	5.85
"FBtr0332844"	11.54	10.09	8.01	9.14	11.28	8.38	15.44	15.81	14.12	12.13	12.35	11.67	6.52	7.44	6.41
"FBtr0070672"	0.00	0.03	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300608"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300609"	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0308914"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00
"FBtr0308915"	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.07	0.00	0.00	0.00	0.00	0.00
"FBtr0331162"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343569"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0079929"	0.02	0.03	0.04	0.06	0.04	0.27	0.07	0.12	0.07	0.01	0.01	0.01	0.05	0.02	0.05
"FBtr0329984"	0.02	0.03	0.04	0.06	0.04	0.27	0.07	0.12	0.07	0.01	0.01	0.01	0.05	0.02	0.05
"FBtr0087782"	850.09	734.38	649.17	837.90	800.46	893.77	484.85	662.98	561.81	1060.41	1103.78	970.96	1005.31	1014.70	723.36
"FBtr0087783"	698.15	595.69	568.54	793.91	718.64	770.23	355.16	311.43	347.65	597.49	569.49	654.62	736.53	697.44	498.75
"FBtr0080803"	11.11	14.87	15.59	12.35	13.26	14.14	1.03	0.62	0.22	9.31	5.53	7.22	6.41	12.21	13.31
"FBtr0080804"	94.98	112.31	117.95	101.77	104.70	96.41	1.65	0.85	2.77	46.46	54.98	63.05	54.02	85.18	77.08
"FBtr0080805"	0.32	0.45	0.67	0.21	0.85	0.90	0.22	0.00	0.00	0.00	2.06	0.49	0.87	2.64	0.23
"FBtr0081002"	31.73	34.36	38.97	27.08	30.07	26.49	31.95	24.23	29.21	25.64	23.17	26.10	28.10	25.39	41.72
"FBtr0305688"	0.00	0.00	0.45	0.17	0.48	0.17	0.00	0.00	0.21	0.00	0.00	0.00	0.32	0.00	0.96
"FBtr0330225"	0.62	0.75	0.26	0.26	0.72	0.22	1.00	2.54	1.19	1.37	0.22	0.44	1.15	0.51	0.66
"FBtr0330226"	31.73	34.36	38.97	27.08	30.07	26.49	31.95	24.23	29.21	25.64	23.17	26.10	28.10	25.39	41.72
"FBtr0084949"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0075523"	5.09	8.79	12.54	4.44	4.50	3.33	12.35	12.74	11.43	4.46	3.72	2.31	0.42	5.58	8.40
"FBtr0075524"	1.61	4.07	4.40	0.00	0.00	0.08	4.85	0.00	3.12	0.00	0.00	1.55	1.94	0.00	0.00
"FBtr0075525"	7.45	14.74	19.73	4.33	6.62	3.81	28.71	14.59	26.40	4.59	4.40	4.92	6.44	7.01	12.45
"FBtr0075526"	0.00	0.47	0.54	0.45	0.00	0.32	0.59	0.00	0.40	0.00	0.00	0.51	0.52	0.18	0.54
"FBtr0330160"	7.45	14.74	19.73	4.33	6.62	3.81	28.71	14.59	26.40	4.59	4.40	4.92	6.44	7.01	12.45
"FBtr0333580"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0075621"	5.68	5.93	6.69	6.96	8.62	8.78	6.66	7.53	4.59	12.52	11.37	15.94	25.93	10.50	14.27
"FBtr0070638"	18.30	20.62	19.14	19.30	20.03	21.52	15.95	17.82	18.98	18.87	21.06	19.78	18.54	22.84	16.97
"FBtr0077423"	0.87	0.76	0.51	4.30	6.24	12.54	1.23	0.85	1.19	1.28	1.13	1.88	3.87	0.97	1.44
"FBtr0079084"	3.68	10.31	14.52	5.92	4.21	1.27	12.73	13.15	11.34	1.71	1.74	0.90	5.76	5.58	5.54
"FBtr0079085"	13.55	17.89	19.51	14.07	17.79	18.82	28.90	15.86	24.82	11.63	11.72	11.64	13.41	12.65	21.19
"FBtr0302567"	1.49	0.66	0.00	0.06	2.55	3.83	0.00	2.29	1.37	0.11	0.00	0.14	0.00	0.35	0.00
"FBtr0302568"	7.69	9.42	12.35	9.31	11.44	10.18	14.75	9.66	11.10	6.72	6.62	8.29	3.98	5.98	14.83
"FBtr0310624"	1.84	4.35	0.90	0.00	0.00	0.00	0.48	1.81	4.16	1.39	0.26	0.20	1.22	2.53	1.92
"FBtr0310625"	0.00	0.00	0.00	0.00	0.00	0.57	0.00	0.28	0.00	0.00	0.53	0.00	0.00	0.27	0.00
"FBtr0342939"	0.00	0.16	2.72	1.95	0.88	1.40	4.05	0.00	0.64	0.49	0.59	0.50	0.44	0.00	1.08
"FBtr0080087"	18.35	19.34	17.98	24.47	25.77	24.67	4.55	3.21	4.01	26.63	27.03	28.05	26.46	30.35	21.30
"FBtr0300982"	0.00	0.25	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.56	0.00	0.64	0.00
"FBtr0302378"	0.00	0.00	0.00	0.00	0.26	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.00	0.25
"FBtr0071379"	0.00	0.04	0.02	0.04	0.00	0.06	0.02	0.03	0.00	0.00	0.00	0.02	0.00	0.00	0.00
"FBtr0301342"	0.00	0.02	0.84	62.00	56.19	45.00	1.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.78
"FBtr0343875"	139.39	153.68	156.81	71.54	89.99	85.25	190.36	158.18	174.22	118.78	104.83	117.68	125.58	115.64	142.50
"FBtr0072117"	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.20	0.22	0.10	0.10	0.09	0.00	0.00	0.00
"FBtr0346612"	0.12	0.14	0.13	0.09	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0082119"	3.37	2.41	2.97	4.41	3.68	4.11	5.88	5.28	5.24	4.41	4.04	3.32	2.43	3.03	3.05
"FBtr0301093"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0302382"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083194"	7.28	4.10	0.00	0.00	0.00	1.55	0.00	0.01	0.05	0.01	0.74	0.00	0.00	0.00	0.00
"FBtr0083195"	0.00	2.88	0.02	5.79	8.57	1.65	13.71	15.21	13.91	14.36	7.34	6.35	17.27	10.28	24.25
"FBtr0083196"	6.38	8.17	12.69	9.27	8.39	10.83	22.52	21.30	21.56	9.12	11.18	11.54	28.14	33.02	40.28
"FBtr0085484"	3.20	6.33	9.54	2.90	3.29	3.36	1.08	0.57	1.05	2.47	2.35	3.09	3.17	4.43	6.57
"FBtr0346613"	1.33	0.90	0.09	0.79	1.74	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080844"	0.49	0.82	0.70	0.00	2.39	0.99	0.16	0.00	3.95	4.07	0.14	1.05	1.67	1.83	0.67
"FBtr0080845"	283.50	280.21	310.17	333.98	338.05	354.78	440.35	396.18	422.97	279.95	270.81	287.99	296.05	228.38	341.00
"FBtr0080846"	8.66	8.02	8.79	11.16	9.90	10.11	2.60	2.14	1.47	10.08	8.40	10.41	10.35	10.52	12.40
"FBtr0080847"	5.02	6.50	6.96	5.28	5.74	4.18	7.61	7.85	8.90	5.96	3.40	4.49	7.00	4.61	7.19
"FBtr0337081"	0.00	1.41	1.16	0.19	0.30	0.35	2.54	2.61	0.87	0.39	1.50	0.75	0.79	0.88	1.80
"FBtr0081412"	4.25	1.19	6.45	3.51	6.06	3.94	5.36	3.98	7.48	4.79	3.60	5.56	2.25	1.47	2.00
"FBtr0081413"	107.04	119.24	126.95	121.02	119.63	123.16	120.49	101.82	118.73	99.61	107.42	110.74	116.16	106.86	106.79
"FBtr0335152"	1.09	1.21	0.82	1.36	0.67	0.31	0.35	0.39	0.57	0.16	0.55	0.85	0.34	0.73	0.90
"FBtr0088001"	718.93	787.61	747.93	810.18	789.04	742.38	1147.84	1132.16	1113.73	716.31	681.12	660.40	597.82	533.27	732.52
"FBtr0088002"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	140.77
"FBtr0304963"	0.18	0.24	0.25	0.11	0.26	0.06	0.70	0.56	0.45	0.10	0.04	0.10	0.13	0.22	0.19
"FBtr0304964"	26.84	29.14	25.95	25.95	26.98	25.15	42.99	45.00	41.35	24.23	23.80	20.94	24.19	18.43	29.26
"FBtr0345018"	2.34	5.37	2.31	5.09	3.45	8.37	0.00	7.50	2.01	2.03	4.61	10.42	1.45	2.98	0.00
"FBtr0077511"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077512"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077513"	5.87	7.51	8.60	3.20	4.79	2.34	1.68	1.04	1.87	4.44	3.52	4.69	5.73	7.46	8.23
"FBtr0290077"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0290078"	0.06	0.14	0.10	0.10	0.04	0.05	0.00	0.06	0.05	0.10	0.10	0.10	0.10	0.22	0.19
"FBtr0290079"	2.30	0.91	0.06	0.79	0.62	1.29	0.20	0.00	0.00	1.31	1.22	1.37	0.86	2.26	0.87
"FBtr0290080"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0290081"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0290082"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0074727"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0074728"	21.02	20.58	23.29	22.63	23.48	22.28	12.39	10.42	10.80	20.05	21.29	21.75	21.08	21.70	20.64
"FBtr0331158"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0073558"	37.68	42.92	32.37	30.12	29.26	28.87	15.56	20.47	16.94	33.50	26.85	29.80	27.15	34.17	37.71
"FBtr0073560"	66.93	66.29	42.13	67.57	58.53	56.78	0.00	0.00	0.00	61.31	45.44	60.59	53.77	74.86	52.72
"FBtr0073561"	89.35	64.09	59.06	102.86	101.25	102.20	1.02	2.82	1.47	78.30	72.65	63.75	100.39	155.96	86.27
"FBtr0073562"	0.14	0.17	0.00	0.27	0.07	0.48	0.19	0.26	0.15	0.00	0.20	0.07	0.09	0.35	0.20
"FBtr0100540"	13.71	17.74	14.05	16.52	14.12	15.76	1.25	0.86	0.89	12.63	12.27	20.21	10.06	18.44	16.12
"FBtr0299569"	11.99	13.58	8.68	20.23	13.51	23.23	0.64	0.00	1.53	15.02	12.43	18.93	14.51	19.76	16.11
"FBtr0307896"	0.00	0.19	0.42	0.20	0.11	0.00	5.58	0.00	2.18	0.00	0.00	0.00	0.00	0.58	0.00
"FBtr0308084"	0.15	0.62	0.54	0.12	0.22	0.40	0.74	0.22	0.00	0.15	0.16	0.00	0.29	0.31	0.30
"FBtr0308085"	8.08	5.04	4.65	7.68	8.41	8.91	0.50	0.78	0.72	8.49	4.63	6.16	6.87	8.60	6.76
"FBtr0333204"	0.00	0.00	9.74	0.00	0.00	0.00	9.46	5.24	7.95	0.00	0.38	0.00	0.00	0.00	0.00
"FBtr0075058"	32.91	31.09	36.16	45.40	47.17	48.31	65.18	55.98	60.87	36.40	37.18	39.97	43.53	31.75	45.73
"FBtr0079851"	24.46	31.54	36.74	24.87	28.23	24.13	51.69	39.92	47.08	19.87	18.46	20.62	21.69	23.40	36.61
"FBtr0079852"	0.11	0.00	0.19	0.09	0.07	0.00	0.22	0.00	0.45	0.10	0.00	0.00	0.10	0.00	0.29
"FBtr0335495"	0.00	2.33	0.58	0.69	0.42	0.83	2.79	0.85	1.95	0.47	0.00	0.28	0.27	0.00	0.42
"FBtr0085727"	1.05	0.95	0.56	1.04	1.20	0.83	2.52	1.90	2.38	1.12	2.21	1.84	0.81	0.97	0.91
"FBtr0335454"	0.00	0.00	0.00	0.00	0.00	0.28	0.23	0.48	0.00	0.86	0.00	0.00	0.00	0.00	0.18
"FBtr0085612"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085614"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085640"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085616"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085613"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0089614"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083126"	87.10	121.78	135.77	66.85	77.11	66.12	209.69	151.34	186.24	73.31	60.24	66.99	63.02	57.05	119.57
"FBtr0083127"	4.72	6.77	10.81	4.67	4.69	3.36	11.83	13.59	8.79	4.63	3.89	1.92	6.91	5.14	10.18
"FBtr0089647"	3.06	3.02	2.87	1.38	2.01	1.62	0.08	0.11	0.00	2.66	1.67	1.87	2.82	3.00	2.38
"FBtr0089648"	2.18	5.21	5.21	2.13	2.03	2.03	0.16	0.00	0.29	0.98	1.95	1.75	0.37	5.95	3.87
"FBtr0089649"	0.31	0.53	0.79	0.35	0.24	0.11	0.00	0.00	0.00	0.00	0.14	0.47	0.48	0.14	0.35
"FBtr0304887"	2.06	2.98	3.83	3.17	2.82	2.50	0.15	0.06	0.09	1.48	2.42	2.55	2.69	2.83	4.25
"FBtr0336835"	0.00	0.00	0.00	0.37	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.52	0.00	0.00
"FBtr0472669"	3.06	3.02	2.87	1.38	2.01	1.62	0.08	0.11	0.00	2.66	1.67	1.87	2.82	3.00	2.38
"FBtr0080235"	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080236"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0307093"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
"FBtr0087526"	4.46	14.00	17.30	16.22	13.72	12.40	18.07	12.97	17.81	10.83	7.21	7.04	2.63	3.56	17.92
"FBtr0087527"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0087528"	13.72	3.45	3.87	9.00	11.69	10.83	1.15	3.11	1.90	5.62	8.97	9.11	11.69	9.94	2.98
"FBtr0087529"	0.00	0.75	0.00	1.07	1.19	0.00	0.73	1.10	1.73	2.12	0.00	2.23	2.89	2.61	1.59
"FBtr0112795"	5.54	4.40	5.22	4.82	6.07	4.63	4.76	3.48	5.70	5.52	3.68	5.11	5.59	4.99	4.80
"FBtr0290034"	5.59	7.45	7.93	8.45	8.86	9.16	5.09	4.54	5.72	8.67	4.86	6.16	3.80	7.02	6.36
"FBtr0290035"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0339960"	6.29	7.57	5.66	9.42	10.79	9.07	7.93	4.41	6.82	8.96	5.67	6.77	5.55	5.73	8.13
"FBtr0339961"	3.61	4.10	4.65	3.47	4.84	4.63	4.58	4.22	4.12	3.23	3.61	2.62	3.59	3.09	3.68
"FBtr0339962"	21.48	26.73	31.28	26.27	29.37	26.22	26.39	17.93	22.76	16.09	19.48	19.75	21.34	15.96	24.40
"FBtr0346946"	12.61	15.96	16.86	10.14	10.36	9.52	15.63	12.70	13.90	8.57	9.42	11.53	12.66	12.12	18.28
"FBtr0079001"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0079002"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00
"FBtr0079003"	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0089367"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0089368"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080838"	0.00	0.35	0.21	0.07	0.00	0.13	0.38	0.00	0.25	0.07	0.07	0.00	0.00	0.00	0.07
"FBtr0080839"	19.30	32.08	36.57	11.56	16.73	8.76	43.63	30.80	43.51	11.18	6.83	10.90	11.59	17.61	31.80
"FBtr0321313"	5.06	10.42	11.00	3.41	3.73	3.90	23.66	16.83	17.41	3.77	4.33	1.84	4.35	3.92	10.79
"FBtr0079233"	712.79	690.45	607.53	814.38	807.66	809.19	858.83	1030.29	889.26	823.92	819.83	746.81	775.14	764.90	641.02
"FBtr0079234"	0.00	0.29	0.21	0.74	0.00	0.24	0.00	0.24	0.59	0.34	0.88	0.41	0.38	0.32	0.16
"FBtr0079235"	45.34	43.51	39.96	56.49	52.85	55.74	49.73	66.17	57.55	46.84	47.70	47.01	50.96	47.29	55.28
"FBtr0079236"	10.58	9.69	10.56	9.65	10.92	8.64	13.88	16.44	13.82	12.70	10.86	8.93	9.63	10.63	9.21
"FBtr0309212"	28.69	27.03	23.98	52.74	48.20	49.47	41.21	43.94	39.75	30.78	31.20	28.63	27.81	32.41	26.25
"FBtr0309213"	0.45	0.35	0.36	2.23	1.20	0.52	0.83	0.21	0.81	0.00	0.58	0.52	0.86	1.13	0.72
"FBtr0070064"	0.00	0.00	10.92	3.79	4.48	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.99
"FBtr0070065"	119.76	107.72	102.70	114.74	119.15	128.55	180.48	176.02	164.37	135.06	124.11	118.80	113.54	80.56	98.57
"FBtr0080723"	11.25	14.83	12.77	3.74	4.89	4.62	20.89	14.23	16.05	6.04	6.30	6.94	4.89	2.76	8.60
"FBtr0080724"	0.00	3.62	9.05	4.67	5.44	3.22	12.59	5.04	11.79	1.99	0.00	0.00	2.95	4.47	7.50
"FBtr0343686"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343687"	1.77	3.84	4.51	1.79	1.95	1.68	4.21	5.02	5.14	1.02	0.60	1.55	0.82	2.12	2.72
"FBtr0079095"	519.26	420.65	354.20	389.45	375.77	399.46	473.35	639.33	533.88	584.92	672.94	596.96	607.22	589.31	434.64
"FBtr0329967"	0.00	1.42	0.51	1.27	0.37	1.35	1.58	1.07	2.06	0.48	1.51	0.95	3.35	0.00	0.00
"FBtr0329968"	1.23	2.61	0.54	0.46	1.60	3.89	1.70	2.92	2.20	3.69	2.78	1.56	3.14	1.70	2.82
"FBtr0074179"	25.33	36.90	40.17	28.08	37.39	33.29	62.98	43.99	55.43	13.15	19.93	22.49	20.66	21.08	44.63
"FBtr0074180"	0.90	1.35	0.71	0.65	0.30	1.08	1.24	0.45	0.91	0.00	3.81	0.39	0.42	0.00	0.62
"FBtr0074181"	3.20	5.10	3.94	2.92	3.29	3.37	9.31	5.62	9.12	1.60	2.37	2.98	3.48	1.87	4.09
"FBtr0074182"	0.66	1.18	1.67	0.57	0.67	0.78	3.10	1.80	2.03	0.16	0.34	0.52	0.37	0.19	1.12
"FBtr0112797"	0.00	1.43	0.29	0.27	0.49	0.85	1.05	0.37	1.10	0.00	0.00	0.34	0.35	0.37	0.51
"FBtr0112798"	8.44	7.78	9.10	10.50	7.23	5.75	15.38	12.34	18.53	12.74	3.86	10.00	6.75	8.09	8.59
"FBtr0339445"	0.59	0.99	2.11	2.66	1.52	0.60	4.72	2.72	2.37	0.85	1.06	0.18	1.27	0.59	1.75
"FBtr0079334"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0079335"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0306113"	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0071687"	27.62	27.70	31.31	31.68	31.65	30.69	47.44	44.35	45.92	32.81	34.32	34.36	30.18	25.63	30.77
"FBtr0071033"	59.48	52.49	54.46	75.98	69.40	75.25	91.10	96.35	86.49	63.67	73.10	70.31	62.38	58.26	54.37
"FBtr0332315"	0.00	0.83	0.55	0.00	0.47	0.59	0.70	0.87	1.93	0.72	0.37	0.34	0.37	1.66	0.45
"FBtr0344723"	0.13	0.03	0.04	0.10	0.06	0.03	0.00	0.04	0.00	0.00	0.04	0.04	0.04	0.04	0.00
"FBtr0080848"	62.57	59.14	48.94	66.89	62.97	50.57	85.45	115.47	59.09	76.64	78.80	90.40	82.97	81.92	46.93
"FBtr0080849"	128.74	100.89	85.40	111.75	112.30	126.36	115.06	146.58	153.40	155.73	150.64	126.62	143.73	126.01	115.99
"FBtr0337082"	5.75	5.10	4.98	3.60	4.61	4.40	5.76	7.82	3.18	4.52	6.71	4.55	5.04	4.82	3.01
"FBtr0073754"	2.84	1.81	2.42	4.41	3.04	3.65	6.81	5.11	5.57	2.50	4.13	3.44	4.96	4.84	6.92
"FBtr0333329"	0.00	1.04	1.20	0.00	0.99	0.57	0.32	0.52	0.42	0.38	0.00	0.30	0.71	0.60	0.76
"FBtr0079320"	1.90	3.00	0.97	3.67	3.04	3.46	0.53	0.52	0.35	4.41	2.52	3.42	5.08	5.21	4.97
"FBtr0333350"	16.46	14.87	13.12	18.20	15.05	18.13	0.41	0.37	0.27	12.30	13.63	13.20	16.67	24.77	15.20
"FBtr0089015"	23.93	29.56	37.35	21.50	23.94	19.56	50.82	39.93	48.57	19.94	17.72	18.11	19.73	18.08	32.38
"FBtr0336916"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0076572"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0076574"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0076571"	0.15	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0076573"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0071203"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0071204"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300448"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081512"	210.31	203.16	207.82	161.92	165.59	158.79	334.62	362.58	316.35	301.82	215.58	215.23	221.19	200.36	232.73
"FBtr0081513"	0.02	0.02	0.00	0.05	0.10	0.06	0.02	0.00	0.00	0.11	0.07	0.04	0.04	0.07	0.05
"FBtr0332001"	7.00	7.03	5.50	5.95	4.58	5.53	6.19	7.70	6.16	8.13	8.55	7.24	6.33	6.60	5.67
"FBtr0332002"	2.55	4.55	3.95	3.49	2.15	1.96	3.47	6.75	4.68	3.07	4.01	6.18	4.55	3.37	4.29
"FBtr0070495"	32.81	42.69	55.75	32.80	32.98	26.10	46.61	42.73	51.59	28.94	30.85	32.43	33.52	30.46	48.81
"FBtr0070496"	3.31	2.03	0.00	0.00	3.66	3.35	7.27	0.21	4.37	0.00	0.00	0.00	2.76	6.44	2.78
"FBtr0070418"	30.16	31.30	35.11	38.51	36.53	41.48	57.28	51.63	55.30	26.66	32.51	30.23	29.94	25.04	35.62
"FBtr0070378"	14.43	19.90	28.26	9.39	11.83	6.23	24.71	13.91	25.47	9.15	5.83	8.23	9.70	13.71	19.92
"FBtr0070379"	0.07	0.13	0.10	0.04	0.02	0.02	0.13	0.13	0.11	0.02	0.07	0.06	0.06	0.07	0.08
"FBtr0070380"	4.74	10.26	7.99	5.63	5.07	6.34	10.67	11.38	8.30	4.15	6.07	3.88	2.89	3.76	6.09
"FBtr0333260"	0.04	0.03	0.06	0.03	0.08	0.07	0.23	0.04	0.05	0.06	0.09	0.07	0.03	0.21	0.05
"FBtr0111126"	174.14	170.77	146.57	178.44	186.68	166.50	246.38	271.72	241.37	200.94	159.82	172.79	173.16	170.50	192.25
"FBtr0334157"	12.09	9.17	10.38	7.51	7.16	7.18	13.21	16.97	13.42	7.04	11.81	9.31	6.05	7.49	5.11
"FBtr0290322"	62.34	86.27	97.94	78.77	82.80	81.67	43.15	31.04	44.30	43.93	43.91	50.00	50.47	64.76	85.12
"FBtr0346452"	1.56	2.60	2.81	2.20	2.30	1.66	1.47	0.65	0.96	1.67	1.16	1.33	0.78	0.78	1.99
"FBtr0070804"	0.43	0.54	0.38	0.75	0.43	0.40	0.20	0.33	0.13	1.73	1.26	0.43	1.20	0.73	0.87
"FBtr0340464"	8.82	7.21	6.92	12.79	11.64	12.26	2.61	1.97	2.76	12.58	7.72	10.82	13.20	12.87	9.70
"FBtr0340465"	1.30	0.69	1.20	2.17	2.32	2.31	0.21	0.14	0.00	1.80	1.42	1.57	2.29	1.95	2.56
"FBtr0071610"	0.00	0.01	0.00	0.01	0.05	0.08	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.00	0.00
"FBtr0076075"	739.53	775.66	794.76	666.22	679.11	632.25	670.73	529.31	583.06	756.81	626.60	652.33	619.98	417.98	838.37
